Country or Area,Year,City,City type,Value
Argentina,2021,Ushuaia-Río Grande,Urban agglomeration,168455.769151836
Argentina,2020,Bahía Blanca-Cerri,Urban agglomeration,314538.59851041
Argentina,2020,BUENOS AIRES,Urban agglomeration,1.54167283064762E7
Argentina,2020,Catamarca,Urban agglomeration,222984.029777984
Argentina,2020,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,236436.509341076
Argentina,2020,Concordia,Urban agglomeration,160903.429239017
Argentina,2020,Córdoba,Urban agglomeration,1563701.86895129
Argentina,2020,Corrientes,Urban agglomeration,379978.444686007
Argentina,2020,Formosa,Urban agglomeration,252791.074578256
Argentina,2020,La Plata,Urban agglomeration,895110.096243182
Argentina,2020,La Rioja,Urban agglomeration,222155.092719213
Argentina,2020,San Luis - El Chorrillo,Urban agglomeration,235975.020950925
Argentina,2020,Mar del Plata-Batán,Urban agglomeration,644257.598143505
Argentina,2020,Mendoza,Urban agglomeration,1025406.68203834
Argentina,2020,Neuquén-Plottier,Urban agglomeration,307682.171934893
Argentina,2020,Paraná,Urban agglomeration,280519.645586536
Argentina,2020,Posadas,Urban agglomeration,371895.942045616
Argentina,2020,Rawson-Trelew-Playa Unión,Urban agglomeration,145647.108064937
Argentina,2020,Resistencia,Urban agglomeration,414226.464103709
Argentina,2020,Río Cuarto,Urban agglomeration,177559.106824147
Argentina,2020,Rio Gallegos,Urban agglomeration,122333.920093625
Argentina,2020,Rosario,Urban agglomeration,1321765.26229453
Argentina,2020,Salta,Urban agglomeration,636406.192127149
Argentina,2020,San Juan,Urban agglomeration,535947.105697122
Argentina,2020,San Nicolás-Villa Constitución,Urban agglomeration,194402.451030655
Argentina,2020,San Salvador de Jujuy-Palpalá,Urban agglomeration,346920.151608614
Argentina,2020,Santa Fé,Urban agglomeration,534204.182896752
Argentina,2020,Santa Rosa-Toay,Urban agglomeration,127682.984533787
Argentina,2020,Santiago del Estero-La Banda,Urban agglomeration,402436.143881799
Argentina,2020,Tucumán-Tafí Viejo,Urban agglomeration,900677.2574523
Argentina,2020,Ushuaia-Río Grande,Urban agglomeration,164882.939891915
Argentina,2019,Bahía Blanca-Cerri,Urban agglomeration,312806.434651959
Argentina,2019,BUENOS AIRES,Urban agglomeration,1.52634408939052E7
Argentina,2019,Catamarca,Urban agglomeration,220519.360623636
Argentina,2019,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,231781.427209091
Argentina,2019,Concordia,Urban agglomeration,159773.018024716
Argentina,2019,Córdoba,Urban agglomeration,1554060.03966592
Argentina,2019,Corrientes,Urban agglomeration,376981.417563159
Argentina,2019,Formosa,Urban agglomeration,250125.41629732
Argentina,2019,La Plata,Urban agglomeration,885066.472814378
Argentina,2019,La Rioja,Urban agglomeration,218459.020970998
Argentina,2019,San Luis - El Chorrillo,Urban agglomeration,232420.193524789
Argentina,2019,Mar del Plata-Batán,Urban agglomeration,639027.757969364
Argentina,2019,Mendoza,Urban agglomeration,1017327.40450959
Argentina,2019,Neuquén-Plottier,Urban agglomeration,303765.85582113
Argentina,2019,Paraná,Urban agglomeration,278963.191369067
Argentina,2019,Posadas,Urban agglomeration,367367.916400629
Argentina,2019,Rawson-Trelew-Playa Unión,Urban agglomeration,144087.378820216
Argentina,2019,Resistencia,Urban agglomeration,411509.871823949
Argentina,2019,Río Cuarto,Urban agglomeration,176183.225763093
Argentina,2019,Rio Gallegos,Urban agglomeration,120016.632536704
Argentina,2019,Rosario,Urban agglomeration,1313576.05730145
Argentina,2019,Salta,Urban agglomeration,628798.00686486
Argentina,2019,San Juan,Urban agglomeration,531124.459795535
Argentina,2019,San Nicolás-Villa Constitución,Urban agglomeration,193185.737554786
Argentina,2019,San Salvador de Jujuy-Palpalá,Urban agglomeration,343607.497285361
Argentina,2019,Santa Fé,Urban agglomeration,529938.524938365
Argentina,2019,Santa Rosa-Toay,Urban agglomeration,126447.494170958
Argentina,2019,Santiago del Estero-La Banda,Urban agglomeration,398836.120662019
Argentina,2019,Tucumán-Tafí Viejo,Urban agglomeration,894752.545122747
Argentina,2019,Ushuaia-Río Grande,Urban agglomeration,161213.779381657
Argentina,2016,Bahía Blanca-Cerri,Urban agglomeration,308922.0
Argentina,2016,Bariloche,Urban agglomeration,158989.0
Argentina,2016,BUENOS AIRES,Urban agglomeration,1.3879707E7
Argentina,2016,Catamarca,Urban agglomeration,213186.0
Argentina,2016,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,218596.0
Argentina,2016,Concordia,Urban agglomeration,161990.0
Argentina,2016,Córdoba,Urban agglomeration,1525490.0
Argentina,2016,Corrientes,Urban agglomeration,386379.0
Argentina,2016,Formosa,Urban agglomeration,260788.0
Argentina,2016,La Plata,Urban agglomeration,843851.0
Argentina,2016,La Rioja,Urban agglomeration,207085.0
Argentina,2016,San Luis - El Chorrillo,Urban agglomeration,221410.0
Argentina,2016,Mar del Plata-Batán,Urban agglomeration,641065.0
Argentina,2016,Mendoza,Urban agglomeration,1094209.0
Argentina,2016,Neuquén-Plottier,Urban agglomeration,314478.0
Argentina,2016,Paraná,Urban agglomeration,276125.0
Argentina,2016,Posadas,Urban agglomeration,358832.0
Argentina,2016,Rawson-Trelew-Playa Unión,Urban agglomeration,139698.0
Argentina,2016,Resistencia,Urban agglomeration,412445.0
Argentina,2016,Río Cuarto,Urban agglomeration,173807.0
Argentina,2016,Rio Gallegos,Urban agglomeration,112455.0
Argentina,2016,Rosario,Urban agglomeration,1444436.0
Argentina,2016,Salta,Urban agglomeration,634644.0
Argentina,2016,San Juan,Urban agglomeration,520430.0
Argentina,2016,San Nicolás-Villa Constitución,Urban agglomeration,190447.0
Argentina,2016,San Salvador de Jujuy-Palpalá,Urban agglomeration,341634.0
Argentina,2016,Santa Fé,Urban agglomeration,534341.0
Argentina,2016,Santa Rosa-Toay,Urban agglomeration,127055.0
Argentina,2016,Santiago del Estero-La Banda,Urban agglomeration,410083.0
Argentina,2016,Tucumán-Tafí Viejo,Urban agglomeration,873873.0
Argentina,2016,Ushuaia-Río Grande,Urban agglomeration,139989.0
Argentina,2015,Bahía Blanca-Cerri,Urban agglomeration,307070.0
Argentina,2015,Bariloche,Urban agglomeration,154716.0
Argentina,2015,BUENOS AIRES,Urban agglomeration,1.2847328E7
Argentina,2015,Catamarca,Urban agglomeration,210627.0
Argentina,2015,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,213775.0
Argentina,2015,Concordia,Urban agglomeration,160525.0
Argentina,2015,Córdoba,Urban agglomeration,1517610.0
Argentina,2015,Corrientes,Urban agglomeration,382208.0
Argentina,2015,Formosa,Urban agglomeration,257004.0
Argentina,2015,La Plata,Urban agglomeration,834530.0
Argentina,2015,La Rioja,Urban agglomeration,203257.0
Argentina,2015,San Luis - El Chorrillo,Urban agglomeration,217726.0
Argentina,2015,Mar del Plata-Batán,Urban agglomeration,635022.0
Argentina,2015,Mendoza,Urban agglomeration,1079744.0
Argentina,2015,Neuquén-Plottier,Urban agglomeration,308314.0
Argentina,2015,Paraná,Urban agglomeration,274363.0
Argentina,2015,Posadas,Urban agglomeration,353909.0
Argentina,2015,Rawson-Trelew-Playa Unión,Urban agglomeration,138024.0
Argentina,2015,Resistencia,Urban agglomeration,409056.0
Argentina,2015,Río Cuarto,Urban agglomeration,172267.0
Argentina,2015,Rio Gallegos,Urban agglomeration,110107.0
Argentina,2015,Rosario,Urban agglomeration,1426517.0
Argentina,2015,Salta,Urban agglomeration,623941.0
Argentina,2015,San Juan,Urban agglomeration,514965.0
Argentina,2015,San Nicolás-Villa Constitución,Urban agglomeration,188937.0
Argentina,2015,San Salvador de Jujuy-Palpalá,Urban agglomeration,337748.0
Argentina,2015,Santa Fé,Urban agglomeration,529379.0
Argentina,2015,Santa Rosa-Toay,Urban agglomeration,125513.0
Argentina,2015,Santiago del Estero-La Banda,Urban agglomeration,405054.0
Argentina,2015,Tucumán-Tafí Viejo,Urban agglomeration,867724.0
Argentina,2015,Ushuaia-Río Grande,Urban agglomeration,137371.0
Argentina,2013,Bahía Blanca-Cerri,Urban agglomeration,317325.704982449
Argentina,2013,BUENOS AIRES,Urban agglomeration,1.33390016015536E7
Argentina,2013,Catamarca,Urban agglomeration,215795.389398648
Argentina,2013,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,146557.365847925
Argentina,2013,Concordia,Urban agglomeration,157705.748550135
Argentina,2013,Córdoba,Urban agglomeration,1442000.64659388
Argentina,2013,Corrientes,Urban agglomeration,373981.279268183
Argentina,2013,Formosa,Urban agglomeration,253508.104025216
Argentina,2013,La Plata,Urban agglomeration,764468.872784661
Argentina,2013,La Rioja,Urban agglomeration,193763.58807037
Argentina,2013,San Luis - El Chorrillo,Urban agglomeration,216609.517202332
Argentina,2013,Mar del Plata-Batán,Urban agglomeration,633905.593145199
Argentina,2013,Mendoza,Urban agglomeration,923203.297204453
Argentina,2013,Neuquén-Plottier,Urban agglomeration,277609.714022646
Argentina,2013,Paraná,Urban agglomeration,286659.493034397
Argentina,2013,Posadas,Urban agglomeration,312162.868950168
Argentina,2013,Resistencia,Urban agglomeration,406284.472613334
Argentina,2013,Río Cuarto,Urban agglomeration,168400.500188638
Argentina,2013,Rosario,Urban agglomeration,1284951.22445876
Argentina,2013,Salta,Urban agglomeration,562807.15066998
Argentina,2013,San Juan,Urban agglomeration,486313.228956941
Argentina,2013,San Salvador de Jujuy-Palpalá,Urban agglomeration,322872.909734593
Argentina,2013,Santa Fé,Urban agglomeration,521233.02888211
Argentina,2013,Santa Rosa-Toay,Urban agglomeration,127398.589387156
Argentina,2013,Santiago del Estero-La Banda,Urban agglomeration,387320.455373139
Argentina,2013,Tucumán-Tafí Viejo,Urban agglomeration,836411.619309512
Argentina,2013,Ushuaia-Río Grande,Urban agglomeration,130617.023030331
Argentina,2012,Bahía Blanca-Cerri,Urban agglomeration,314948.0
Argentina,2012,BUENOS AIRES,Urban agglomeration,1.3242375E7
Argentina,2012,Catamarca,Urban agglomeration,212174.0
Argentina,2012,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,145475.0
Argentina,2012,Concordia,Urban agglomeration,155905.0
Argentina,2012,Córdoba,Urban agglomeration,1429922.0
Argentina,2012,Corrientes,Urban agglomeration,368778.0
Argentina,2012,Formosa,Urban agglomeration,249062.0
Argentina,2012,La Plata,Urban agglomeration,757980.0
Argentina,2012,La Rioja,Urban agglomeration,189845.0
Argentina,2012,San Luis - El Chorrillo,Urban agglomeration,212154.0
Argentina,2012,Mar del Plata-Batán,Urban agglomeration,628672.0
Argentina,2012,Mendoza,Urban agglomeration,916220.0
Argentina,2012,Neuquén-Plottier,Urban agglomeration,273503.0
Argentina,2012,Paraná,Urban agglomeration,283328.0
Argentina,2012,Posadas,Urban agglomeration,307619.0
Argentina,2012,Rawson-Trelew-Playa Unión,Urban agglomeration,132097.0
Argentina,2012,Resistencia,Urban agglomeration,400869.0
Argentina,2012,Río Cuarto,Urban agglomeration,167057.0
Argentina,2012,Rosario,Urban agglomeration,1277149.0
Argentina,2012,Salta,Urban agglomeration,554291.0
Argentina,2012,San Juan,Urban agglomeration,480354.0
Argentina,2012,San Nicolás-Villa Constitución,Urban agglomeration,181730.0
Argentina,2012,San Salvador de Jujuy-Palpalá,Urban agglomeration,318287.0
Argentina,2012,Santa Fé,Urban agglomeration,516203.0
Argentina,2012,Santa Rosa-Toay,Urban agglomeration,125354.0
Argentina,2012,Santiago del Estero-La Banda,Urban agglomeration,381767.0
Argentina,2012,Tucumán-Tafí Viejo,Urban agglomeration,828258.0
Argentina,2012,Ushuaia-Río Grande,Urban agglomeration,127797.0
Argentina,2010,Bahía Blanca-Cerri,Urban agglomeration,310151.0
Argentina,2010,BUENOS AIRES,Urban agglomeration,1.30473835911513E7
Argentina,2010,Catamarca,Urban agglomeration,204865.910814638
Argentina,2010,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,143291.153938137
Argentina,2010,Concordia,Urban agglomeration,152271.040291904
Argentina,2010,Córdoba,Urban agglomeration,1405547.38043669
Argentina,2010,Corrientes,Urban agglomeration,358278.429569445
Argentina,2010,Formosa,Urban agglomeration,240088.945193687
Argentina,2010,La Plata,Urban agglomeration,744885.526810173
Argentina,2010,La Rioja,Urban agglomeration,181938.392736754
Argentina,2010,San Luis - El Chorrillo,Urban agglomeration,203161.629153992
Argentina,2010,Mar del Plata-Batán,Urban agglomeration,618111.615502295
Argentina,2010,Mendoza,Urban agglomeration,902127.207628422
Argentina,2010,Neuquén-Plottier,Urban agglomeration,265215.661375981
Argentina,2010,Paraná,Urban agglomeration,276605.320616689
Argentina,2010,Posadas,Urban agglomeration,298450.237364442
Argentina,2010,Rawson-Trelew-Playa Unión,Urban agglomeration,128970.652529568
Argentina,2010,Resistencia,Urban agglomeration,389940.094689328
Argentina,2010,Río Cuarto,Urban agglomeration,164344.459035137
Argentina,2010,Rosario,Urban agglomeration,1261404.11160335
Argentina,2010,Salta,Urban agglomeration,537106.522392764
Argentina,2010,San Juan,Urban agglomeration,468329.572242688
Argentina,2010,San Nicolás-Villa Constitución,Urban agglomeration,179757.394037044
Argentina,2010,San Salvador de Jujuy-Palpalá,Urban agglomeration,309034.152094366
Argentina,2010,Santa Fé,Urban agglomeration,506053.768541226
Argentina,2010,Santa Rosa-Toay,Urban agglomeration,121229.365117479
Argentina,2010,Santiago del Estero-La Banda,Urban agglomeration,370561.386314553
Argentina,2010,Tucumán-Tafí Viejo,Urban agglomeration,811804.106587273
Argentina,2010,Ushuaia-Río Grande,Urban agglomeration,122104.906599864
Argentina,1991,Avellaneda,City proper,344024.0
Argentina,1991,Bahía Blanca-Cerri,City proper,260096.0
Argentina,1991,BUENOS AIRES,City proper,2965403.0
Argentina,1991,BUENOS AIRES,Urban agglomeration,1.129803E7
Argentina,1991,Catamarca,City proper,109882.0
Argentina,1991,Catamarca,Urban agglomeration,132626.0
Argentina,1991,Comodoro Rivadavia-Rada Tilly,City proper,124104.0
Argentina,1991,Concordia,City proper,116485.0
Argentina,1991,Córdoba,City proper,1157507.0
Argentina,1991,Córdoba,Urban agglomeration,1208554.0
Argentina,1991,Corrientes,City proper,258103.0
Argentina,1991,Formosa,City proper,147636.0
Argentina,1991,General San Martín,City proper,406809.0
Argentina,1991,La Matanza,City proper,1120088.0
Argentina,1991,La Plata,City proper,521936.0
Argentina,1991,La Plata,Urban agglomeration,642979.0
Argentina,1991,Lanus,City proper,468561.0
